register_id,variable_name,description_dk,description_english
IND,RUDGBANK,"Renteudgifter til pengeinstitutter inkl. pantebreve i depot, (ekskl. renteudgifter til studielån, boligstøttelån, renteudgifter til udlandet og renteudgifter i selvstændig virksomhed)","Interest expenses for banks, including mortgage deeds in custody, (excluding interest expenses for student loans, housing benefit loans, interest expenses abroad and interest expenses in self-employment)"
IND,SAMLINK_NY,"Samlet indkomst inkl. beregnet lejeværdi før fradrag af renteudgifter, og før fradrag af arbejdsmarkedsbidrag og særlig pensionsbidrag.","Total income incl. Calculated rental value before deduction of interest expenses, and before deduction of labor market contributions and special pension contributions."
IND,SAMSKAT,"Kode der angiver, om en person er sambeskattet med en anden person",Code indicating whether a person is jointly taxed with another person
IND,SFRIFOND,Skattefri uddelinger fra fonde og foreninger mv.,Tax-free distributions from foundations and associations etc.
IND,SKATFRIYD,Skattefrie indkomster,Tax-free income
IND,SKATMVIALT_13,"Skat, arbejdsmarkedsbidrag og særlig pension i alt. ekskl. kirkeskat","Tax, labor market contributions and special pension in total, excluding church tax"
IND,SKATMVIALT_NY,"Skat, arbejdsmarkedsbidrag og særlig pension i alt","Tax, labor market contributions and special pension in total"
IND,SKATTOT_13,Samlet personlig slutskat for en skatteyder inkl. udenlandsk betalt skat ekskl. kirkeskat,Total personal final tax for a taxpayer incl. foreign tax paid excl. church tax
IND,SKATTOT_NY,Samlet personlig slutskat for en skatteyder inkl. udenlandsk betalt skat,Total personal final tax for a taxpayer incl. foreign tax paid
IND,SKPLDGAN,Antal skattepligtige dage i året,Number of taxable days in the year
IND,SLUSKAT,Samlet slutskat for en skatteyder,Total final tax for a taxpayer
IND,SLUTBID,Samlet arbejdsmarkedsbidrag,Total labor market contribution
IND,SLUT_LIGNET,Markering for slutligning,Mark for final equation
IND,SOEMAND,"Lønindkomst fra ansættelse som sømand, registreret i Skats Slutligningsregister som sømandsindkomst","Wage income from employment as a seaman, registered in the Tax Assessment Register as a seaman's income"
IND,ST12PCT,12 pct. skat til staten,12 pct. tax to the state
IND,ST22PCT,22 pct. skat til staten,22 pct. tax to the state
IND,ST6PCT,6 pct. skat til staten,6 pct. tax to the state
IND,STIP,Stipendier fra Statens Uddannelsesstøtte - SU,Scholarships from Statens Uddannelsesstøtte - SU
IND,STSKAT,Statsskatten,The state tax
IND,SUNDHEDSBIDRAG,Sundhedsbidrag,Health contributions
IND,SYG_BARSEL_13,Udbetalte sygedagpenge fra kommuner,Sickness benefits paid by municipalities
IND,TBKONT,Tilbagebetalt kontanthjælp og øvrige fradrag,Refunded cash benefits and other deductions
IND,TBKONTHJ,Tilbagebetalt kontanthjælp,Refunded cash benefits
IND,TILBTOT,Skattefrit tillæg til førtidspensionister,Tax-free supplement for early retirees
IND,TOPSKA,Beregnet topskat til staten,Calculated top tax to the state
IND,UDDAN,Dagpenge udbetalt af a-kasse ved orlov under uddannelse,Unemployment benefits paid by the unemployment insurance fund during leave during education
IND,UDD_YD,Uddannelsesydelse/ledighedsydelse/arbejdsmarkedsydelse til ledige der opbruger deres dagpengeret,Education benefit / unemployment benefit / labor market benefit for the unemployed who use up their right to unemployment benefits
IND,UDKAINVR,Nettorenter i udenlandsk virksomhed,Net interest in foreign business
IND,UDLAKT,Udenlandske aktiver,Foreign assets
IND,UDLFAKF,"Udenlandsk kapitalindkomst, såfremt denne er omfattet af en skattemæssig lempelsesregel","Foreign capital income, provided that it is subject to a tax relief rule"
IND,UDLIN2KA,Udenlandsk kapitalindkomst der er i følge en dobbeltbeskatningsoverenskomst er omfattet af reglerne om gammel exemption (skattefri),Foreign capital income that is in accordance with a double taxation agreement is covered by the rules on old exemption (tax-free)
IND,UDLOEN,"Løn for arbejde i udlandet, del der kan skelnes fra anden udenlandsk pers. indk.","Salary for work abroad, part that can be distinguished from other foreign pers. Incl."
IND,UDLPENS,Pensioner fra udlandet,Pensions from abroad
IND,UDLSKAT,Udenlandsk betalt skat af indkomster i udlandet,Foreign paid tax on income abroad
IND,UDPRIGAEL,"Gæld til realkreditinstitutter, pengeinstitutter mv. i udlandet","Debt to mortgage banks, banks, etc. abroad"
IND,ULAKTIE,Udbytter fra udenlandske aktier samt gevinst og tab på udenlandske aktier mm.,Dividends from foreign shares as well as gains and losses on foreign shares etc.
IND,UNDERHOL,Betalt underholdsbidrag (fradrag i skattepligtig indkomst),Paid maintenance (deduction in taxable income)
IND,UNHINDK,Modtaget underholdsbidrag og børnebidrag,Received child support and child support
IND,VARMEHJALP,Varmehjælp til folkepensionister,Heat assistance for old-age pensioners
IND,VERSION,Version,Version
IND,VIRKKOD,"Kode til angivelse af, om skatteberegning foretages inden for eller uden for virksomhedsordningen",Code for indicating whether tax is calculated within or outside the corporate scheme
IND,VIRKORDIND,Beløb indsat i virksomhedsordningerne netto (speciel ordning for selvstændige og kunstnere),Amount deposited in the company schemes net (special scheme for self-employed and artists)
IND,VIRKSK,Foreløbig skat af beløb overført til virksomhedsordningen og konjunkturudligningsordningen og kunstnerordningen,Provisional tax on amounts transferred to the company scheme and the cyclical equalization scheme and the artist scheme
IND,VIRKSOMHEDS_PRAKTIK,Dagpenge til personer i virksomhedspraktik,Unemployment benefits for people in company internships
IND,ADAGP,,
IND,ADAGPAGN,,
IND,AFHFORM,,
IND,AINDK94,,
IND,AKAPSKL,,
IND,AKIHUBS,,
IND,AKIIHUBS,,
IND,AKTIUDL,,
IND,AKTKOEB,,
IND,ALDER_ULT_INK,,
IND,ANDAKAS,,
IND,ANDFRAD,,
IND,ANKAPPER,,
IND,ANPERIND,,
IND,ANUDLAK,,
IND,ARBLHU,,
IND,ASKPLI,,
IND,ATPABES,,
IND,ATPBBES,,
IND,ATPCBES,,
IND,ATPDBES,,
IND,ATPEBES,,
IND,ATPSAML,,
IND,BANKAKT,,
IND,BANKGAELD,,
IND,BARNEP,,
IND,BDAGP,,
IND,BOSBOERN,,
IND,CORLOEN,,
IND,CPRTJEK,,
IND,CPRTYPE,,
IND,DAGPENGE_KONTANT_13,,
IND,DAKTIE,,
IND,DISPON_13,,
IND,EFTLEVHJ,,
IND,EJD_SKAT_EJER_BOLIG,,
IND,EJD_SKAT_LEJER_BOLIG,,
IND,ETABHUI,,
IND,FAGFKDB,,
IND,FERIE_DAGPENGE,,
IND,FLEXLON_TILSKUD,,
IND,FLEXYD,,
IND,FOLKEFORTID_13,,
IND,FOSFUFRD,,
IND,FRADRAGBES,,
IND,FRDUDL,,
IND,FRIOFBEF,,
IND,GAELD_TIL_OFF,,
IND,GEVAFKAP,,
IND,HAEDGAVS,,
IND,HONNY,,
IND,INDESTPI,,
IND,INDSKIB,,
IND,INTGRAYD,,
IND,INVUDL,,
IND,JUBJUB,,
IND,KAPINDKP,,
IND,KAPITIALT,,
IND,KAPITPRIV,,
IND,KAPITVIRK,,
IND,KAPPENS,,
IND,KAPVAERS,,
IND,KHFLYGT,,
IND,KOM_RES_FORLOB,,
IND,KONTANTHJ_13,,
IND,KONTSKFRI,,
IND,KURSAKT,,
IND,KURSUSG,,
IND,LEDIGHEDSYDELSE,,
IND,LEJINDT,,
IND,LIGNFRDP,,
IND,LOENMIO,,
IND,LOENSKPL,,
IND,OBLAKT,,
IND,OBLGAELD,,
IND,OFFPENS,,
IND,OFFPENS_EFTERLON_13,,
IND,OVRIG_DAGPENGE_AKAS_13,,
IND,OVRIG_KONTANTHJALP_13,,
IND,OVRIG_OVERFORSEL_13,,
IND,PANTAKT,,
IND,PANTGAELD,,
IND,PASBOERN,,
IND,PENBPA,,
IND,PENBPB,,
IND,PENSBLB2,,
IND,PENSBLB7,,
IND,PERINDKP,,
IND,PEROEVRIGFORMUE_13,,
IND,PFRDKM,,
IND,PFRDST,,
IND,PRIVAT_PENSION_13,,
IND,QAKTIE,,
IND,QAKTSKA,,
IND,QANDEN,,
IND,QARBLOS,,
IND,QBISTYD,,
IND,QEFTLON,,
IND,QRENTIND,,
IND,QSKATFRI,,
IND,QUDDYDL,,
IND,QUDINK,,
IND,RENTBANK,,
IND,RENTPBED,,
IND,RENTUDIO,,
IND,RENTUPRI,,
IND,RENTVIRK,,
IND,RESUINK_13,,
IND,REVAL,,
IND,RNTIOVIR,,
IND,RNTUDIOV,,
IND,RNTUDSTU,,
IND,RNT_UDG_OFF_GAELD,,
IND,RUDGBANK,,
IND,SAMSKAT,,
IND,SFRIFOND,,
IND,SLUSKAT,,
IND,SOEMAND,,
IND,SYG_BARSEL_13,,
IND,TBKONT,,
IND,UDDAN,,
IND,UDD_YD,,
IND,UDKAINVR,,
IND,UDLAKT,,
IND,UDLFAKF,,
IND,UDLIN2KA,,
IND,UDLOEN,,
IND,UDLPENS,,
IND,UDLSKAT,,
IND,UDPRIGAEL,,
IND,ULAKTIE,,
IND,UNHINDK,,
IND,VARMEHJALP,,
IND,VERSION,,
IND,VIRKKOD,,
IND,VIRKSK,,
IND,VIRKSOMHEDS_PRAKTIK,,
LMDB,ABC,ABC-kode,ABC code
LMDB,AIP,Registerpris (Apotekets indkøbspris) (s),Register price ( Apoteket's purchase price ) (s)
LMDB,ALDR,Alder på udleveringstidspunkt,Age at time of delivery
LMDB,APK,Antal pakninger,Number of packages
LMDB,AREF,Andre refusionsordninger,Other reimbursement schemes
LMDB,ATC,ATC-kode detaljeret (s),ATC code detailed (s)
LMDB,ATC1,ATC-niveau 1 (s),ATC Level 1 (s)
LMDB,ATC2,ATC-niveau 2 (s),ATC Level 2 (s)
LMDB,ATC3,ATC-niveau 3 (s),ATC Level 3 (s)
LMDB,ATC4,ATC-niveau 4 (s),ATC Level 4 (s)
LMDB,AUP,Registerpris (Apotekets udsalgspris) (s),Register price ( Apoteket's sale price ) (s)
LMDB,BALD,Barns alder,Children's age
LMDB,CPRTJEK,CPR-tjek,CPR check
LMDB,CPRTYPE,CPR-type,CPR type
LMDB,CPR_KOM,CPR-bopælskommune på ekspeditionsdatoen,CPR municipality of residence on the dispatch date
LMDB,CPR_REG,CPR-bopælsregion på ekspeditionsdatoen,CPR residence region on the dispatch date
LMDB,DOSFORM,Lægemiddelform (s),Pharmaceutical form (s)
LMDB,DOSO,Doseringskode,Dosage code
LMDB,EJS,Fravalg af substitution,Opt-out of substitution
LMDB,EKSD,Ekspeditionsdato,Expedition date
LMDB,EKSP,Ekspeditionspris,Expedition price
LMDB,EKST,Ekspeditionstype,Expedition type
LMDB,ETID,Ekspeditionstidspunkt,Delivery time
LMDB,IBGP,Indberettet beregningsgrundlagspris,Reported calculation basis price
LMDB,IBNR,Indberetternummer,Reporter number
LMDB,INDO,Indikationskode,Indication code
LMDB,ITYPE,Indberettertype,Reporter type
LMDB,KOM,Kommunekode,Municipal code
LMDB,KORR,Korrektionskode,Correction code
LMDB,NAME,Lægemidlets navn (Store bogstaver) (s),Name of the drug (Uppercase) (s)
LMDB,OVNR,Ordineret varenummer,Prescribed item number
LMDB,PACKSIZE,Numerisk pakningsstørrelse (s),Numeric pack size (s)
LMDB,PACKTEXT,PACKTEXT,PACKTEXT
LMDB,PATT,Patienttype,Patient type
LMDB,PKSUBGR,Pakningssubstitutionsgruppe,Packing substitution group
LMDB,PNR12,CPR-nummer,Social Security number
LMDB,PPRS,Udleveringsbestemmelse,Delivery provision
LMDB,PTP,Patientbetaling,Patient payment
LMDB,RAMT,Amtskommunekode,County Municipality Code
LMDB,RECA,Autorisationskode for receptudsteder,Authorization code for prescription issuer
LMDB,RECU,Receptudsteder,Prescription issuer
LMDB,RGL1,1. Kommuneregelnummer,1. Municipal rule number
LMDB,RGL2,2. kommuneregelnummer,2. municipal rule number
LMDB,RGLA,Amtskommunalt reglnummer,County municipal rule number
LMDB,RIMB,Tilskudskode,Grant code
LMDB,RINR,Reiterationsnummer,Reiteration number
LMDB,SEKTOR,Sektor,Sector
LMDB,STRENG,"Styrke, klartekst (s)","Strength, clear text (s)"
LMDB,STRNUM,"Styrke, numerisk (s)","Strength, numeric (s)"
LMDB,STRUNIT,Enhed til numerisk styrke (s),Unit for numerical strength (s)
LMDB,TAKD,Takstdato,Rate date
LMDB,TARD,Takseringsdato,Valuation date
LMDB,TILPRIS,Tilskudspris pr. pakning,Grant price per. packing
LMDB,TSK1,1. Kommunale tilskud,1. Municipal subsidies
LMDB,TSK2,2. Kommunale tilskud,2. Municipal subsidies
LMDB,TSK3,Andre tilskud,Other grants
LMDB,TSKA,Amtskommunalt tilskud,County municipal subsidy
LMDB,UDLV,Udleveringssted,Place of delivery
LMDB,VNR,Varenummer (s),Item number (s)
LMDB,VOLTYPECODE,Ingen label,No label
LMDB,VOLTYPETXT,Ingen label,No label
LMDB,VOLUME,Volume,Volume
LMDB,CPRTJEK,,
LMDB,CPRTYPE,,
LPR_ADM,CPRTJEK,CPR-tjek,CPR check
LPR_ADM,CPRTYPE,CPR-type,CPR type
LPR_ADM,C_ADIAG,Aktionsdiagnose,Action diagnosis
LPR_ADM,C_AFD,Afdelingskode,Department code
LPR_ADM,C_AMT,Amt,Amt
LPR_ADM,C_ANDENBEH,Ingen label,No label
LPR_ADM,C_BLOK,Inddeling af speciale i blokke,Division of thesis into blocks
LPR_ADM,C_BOPAMT,AMT,AMT
LPR_ADM,C_EAKT,"Ulykkeskode, aktivitet","Accident code, activity"
LPR_ADM,C_EMEK,Ingen label,No label
LPR_ADM,C_EMODPART,"Ulykkeskode, modpart","Accident code, counterparty"
LPR_ADM,C_EPART,"Ulykkeskode, egenpart","Accident code, own party"
LPR_ADM,C_ESTED,"Ulykkeskode, sted","Accident code, location"
LPR_ADM,C_ETRAF,"Ulykkeskode, trafikal","Accident code, traffic"
LPR_ADM,C_HAFD,Henvisende afdeling,Referral Department
LPR_ADM,C_HENM,Henvisningsmåde,Reference method
LPR_ADM,C_HSGH,Henvisende sygehus,Referral hospital
LPR_ADM,C_INDFORM,Ingen label,No label
LPR_ADM,C_INDFRA,Ingen label,No label
LPR_ADM,C_INDM,Indlæggelsesmåde,Mode of admission
LPR_ADM,C_KOM,Kommune,commune
LPR_ADM,C_KONTAARS,Kontaktårsag,Cause of contact
LPR_ADM,C_NYAFD,Ingen label,No label
LPR_ADM,C_PATTYPE,Patienttype,Patient type
LPR_ADM,C_SENSTAT,Ingen label,No label
LPR_ADM,C_SEX,Køn,Sex
LPR_ADM,C_SGH,Sygehus,Hospital
LPR_ADM,C_SGHAMT,Sygehusamt,Hospital ward
LPR_ADM,C_SPEC,Specialekode,Special code
LPR_ADM,C_UDM,Udskrivningsmåde,Printing method
LPR_ADM,C_UDTIL,Ingen label,No label
LPR_ADM,C_ULYKKE,Ingen label,No label
LPR_ADM,D_EBHDTO,Data for endelig behandling (Variabel udgået efter 31.12.2003),Data for final processing (Variable expired after 31.12.2003)
LPR_ADM,D_FUSDTO,Dato for forundersøgelse (Variabel udgået efter 31.12.2003),Date of feasibility study (Variable expired after 31.12.2003)
LPR_ADM,D_HENDTO,Henvisningsdato,Reference date
LPR_ADM,D_INDDTO,Indlæggelsesdato,Date of admission
LPR_ADM,D_OPDATDTO,Intern dato for opdatering af kontakten,Internal date for updating the contact
LPR_ADM,D_UDDTO,Udskrivningsdato,Date of printing
LPR_ADM,K_AFD,Afdelingskode,Department code
LPR_ADM,LEVERANCEDATO,Ingen label,No label
LPR_ADM,PNR,Personnummer,Social security number
LPR_ADM,RECNUM,LPR-identnummer,LPR ID number
LPR_ADM,VERSION,Ingen label,No label
LPR_ADM,V_ALDDG,Alder i dage ved kontaktens start,Age in days at the start of the contact
LPR_ADM,V_ALDER,Alder i år ved kontaktens start,Age this year at the start of the contact
LPR_ADM,V_ALDMDR,Alder i måneder ved kontaktens start,Age in months at the start of the contact
LPR_ADM,V_BEHDAGE,Behandlingsdage (Variabel udgået efter 31.12.2001),Treatment days (Variable expired after 31.12.2001)
LPR_ADM,V_INDMINUT,Indlæggelsminut,Admission minute
LPR_ADM,V_INDTIME,Indlæggelsestidspunkt,Time of admission
LPR_ADM,V_SENGDAGE,Sengedage,Bed days
LPR_ADM,V_UDTIME,Udskrivningstime,Printing time
LPR_ADM,CPRTJEK,,
LPR_ADM,CPRTYPE,,
LPR_ADM,RECNUM,,
LPR_ADM,VERSION,,
LPR_BES,D_AMBDTO,Dato for ambulantbesøg,Date of outpatient visit
LPR_BES,LEVERANCEDATO,Ingen label,No label
LPR_BES,RECNUM,LPR-identnummer,LPR ID number
LPR_BES,VERSION,Ingen label,No label
LPR_BES,RECNUM,,
LPR_BES,VERSION,,
LPR_DIAG,C_DIAG,Diagnosekode,Diagnostic code
LPR_DIAG,C_DIAGMOD,Diagnosemodifikation,Diagnostic modification
LPR_DIAG,C_DIAGTYPE,Diagnosetype,Type of diagnosis
LPR_DIAG,C_TILDIAG,Tillægsdiagnose,Additional diagnosis
LPR_DIAG,LEVERANCEDATO,Ingen label,No label
LPR_DIAG,RECNUM,LPR-identnummer,LPR ID number
LPR_DIAG,VERSION,Ingen label,No label
LPR_DIAG,RECNUM,,
LPR_DIAG,VERSION,,
LPR_OPR,C_KOMB,Kombination,Combination
LPR_OPR,C_OAFD,Operationsafdeling,Operations Department
LPR_OPR,C_OPR,Operationskode,Operation code
LPR_OPR,C_OSGH,Operationssygehus,Surgical hospital
LPR_OPR,LEVERANCEDATO,Ingen label,No label
LPR_OPR,RECNUM,LPR-identnummer,LPR ID number
LPR_OPR,VERSION,Ingen label,No label
LPR_OPR,RECNUM,,
LPR_OPR,VERSION,,
LPR_SKSUBE,C_OAFD,Procedurende afdeling (undersøgelse & behandling),Procedural department (examination & treatment)
LPR_SKSUBE,C_OPR,Procedurekodenummer (undersøgelse & behandling),Procedure code number (examination & treatment)
LPR_SKSUBE,C_OPRART,Procedureart (undersøgelse & behandling),Type of procedure (examination & treatment)
LPR_SKSUBE,C_OSGH,Procedurende sygehus (undersøgelse & behandling),Procedural hospital (examination & treatment)
LPR_SKSUBE,C_TILOPR,Tillægskode (undersøgelse & behandling),Additional code (examination & treatment)
LPR_SKSUBE,D_ODTO,Proceduredato (undersøgelse & behandling),Procedure date (examination & treatment)
LPR_SKSUBE,LEVERANCEDATO,Ingen label,No label
LPR_SKSUBE,RECNUM,LPR-identnummer,LPR ID number
LPR_SKSUBE,VERSION,Ingen label,No label
LPR_SKSUBE,V_OMINUT,Procedureminut (undersøgelse & behandling),Minute of procedure (examination & treatment)
LPR_SKSUBE,V_OTIME,Proceduretime (undersøgelse & behandling),Procedure time (examination & treatment)
LPR_SKSUBE,RECNUM,,
LPR_SKSUBE,VERSION,,
PRIV_ADM,CPRTJEK,CPR-tjek,CPR check
PRIV_ADM,CPRTYPE,CPR-type,CPR type
PRIV_ADM,C_ADIAG,Ingen label,No label
PRIV_ADM,C_AFD,Ingen label,No label
PRIV_ADM,C_BOPAMT,Ingen label,No label
PRIV_ADM,C_HAFD,Ingen label,No label
PRIV_ADM,C_HENM,Ingen label,No label
PRIV_ADM,C_HSGH,Ingen label,No label
PRIV_ADM,C_INDM,Ingen label,No label
PRIV_ADM,C_KOM,Ingen label,No label
PRIV_ADM,C_KONTAARS,Ingen label,No label
PRIV_ADM,C_PATTYPE,Ingen label,No label
PRIV_ADM,C_SEX,Ingen label,No label
PRIV_ADM,C_SGH,Ingen label,No label
PRIV_ADM,C_SGHAMT,Ingen label,No label
PRIV_ADM,C_SPEC,Ingen label,No label
PRIV_ADM,C_UDM,Ingen label,No label
PRIV_ADM,D_HENDTO,Ingen label,No label
PRIV_ADM,D_INDDTO,Ingen label,No label
PRIV_ADM,D_UDDTO,Ingen label,No label
PRIV_ADM,LEVERANCEDATO,Ingen label,No label
PRIV_ADM,PNR,Personnummer,Social security number
PRIV_ADM,RECNUM,LPR-identnummer,LPR ID number
PRIV_ADM,SKEMAOPDAT,Ingen label,No label
PRIV_ADM,SKEMAOPRET,Ingen label,No label
PRIV_ADM,VERSION,Ingen label,No label
PRIV_ADM,V_ALDER,Ingen label,No label
PRIV_ADM,V_BEHDAGE,Ingen label,No label
PRIV_ADM,V_SENGDAGE,Ingen label,No label
PRIV_ADM,CPRTJEK,,
PRIV_ADM,CPRTYPE,,
PRIV_ADM,RECNUM,,
PRIV_ADM,VERSION,,
PRIV_DIAG,C_DIAG,Ingen label,No label
PRIV_DIAG,C_DIAGTYPE,Ingen label,No label
PRIV_DIAG,C_TILDIAG,Ingen label,No label
PRIV_DIAG,INDBERETNINGSDATO,Ingen label,No label
PRIV_DIAG,LEVERANCEDATO,Ingen label,No label
PRIV_DIAG,RECNUM,Ingen label,No label
PRIV_DIAG,VERSION,Ingen label,No label
PRIV_DIAG,RECNUM,,
PRIV_DIAG,VERSION,,
PRIV_SKSOPR,C_OAFD,Ingen label,No label
PRIV_SKSOPR,C_OPR,Ingen label,No label
PRIV_SKSOPR,C_OPRART,Ingen label,No label
PRIV_SKSOPR,C_OSGH,Ingen label,No label
PRIV_SKSOPR,C_TILOPR,Ingen label,No label
PRIV_SKSOPR,D_ODTO,Ingen label,No label
PRIV_SKSOPR,INDBERETNINGSDATO,Ingen label,No label
PRIV_SKSOPR,LEVERANCEDATO,Ingen label,No label
PRIV_SKSOPR,RECNUM,Ingen label,No label
PRIV_SKSOPR,VERSION,Ingen label,No label
PRIV_SKSOPR,RECNUM,,
PRIV_SKSOPR,VERSION,,
PRIV_SKSUBE,C_OAFD,Ingen label,No label
PRIV_SKSUBE,C_OPR,Ingen label,No label
PRIV_SKSUBE,C_OPRART,Ingen label,No label
PRIV_SKSUBE,C_OSGH,Ingen label,No label
PRIV_SKSUBE,C_TILOPR,Ingen label,No label
PRIV_SKSUBE,D_ODTO,Ingen label,No label
PRIV_SKSUBE,INDBERETNINGSDATO,Ingen label,No label
PRIV_SKSUBE,LEVERANCEDATO,Ingen label,No label
PRIV_SKSUBE,RECNUM,Ingen label,No label
PRIV_SKSUBE,VERSION,Ingen label,No label
PRIV_SKSUBE,RECNUM,,
PRIV_SKSUBE,VERSION,,
RAS,ADRKVAL,Adressen for arbejdsstedet kvalitet,The address of the workplace quality
RAS,AFSTAND,Pendlingsafstand mellem bopæl og arbejdssted,Commuting distance between residence and place of work
RAS,AKASSE_RAS,A-kasse,A-box
RAS,AKOM07,Arbejdsstedskommune,Workplace municipality
RAS,ALDER_AMR,Alder ultimo måneden,Age at the end of the month
RAS,ALDER_RAS,Alder på sidste arbejdsdag i november.,Age on last working day in November.
RAS,ANS2911K,Ansat ansat ultimo november,Employed at the end of November
RAS,ANSFRA,Ansat fra dato i det aktuelle år.,Employed from date in the current year.
RAS,ANSTIL,Ansat til dato i det aktuelle år.,Employed to date in the current year.
RAS,ARBGNR,Arbejdsgivernummer,Employer number
RAS,ARBGNR9,Arbejdsgivernummer med sektor,Employer number with sector
RAS,ARBNR,Arbejdsstedsnummer,Workplace number
RAS,ARBRANCE,Årets branche (AKM),Industry of the year (AKM)
RAS,ARBSTIL,Arbejdsstilling,Working position
RAS,ARBSTOPL,Metode til arbejdsstedsplacering,Workplace placement method
RAS,ARB_BEL_KOM_KODE,Arbejdsstedskommune,Workplace municipality
RAS,ARB_DST_ADGANGSADRESSE,Arbejdsstedsadressen ultimo november,Workplace address at the end of November
RAS,ARB_DST_ADGANGSADRESSE_ID,Ingen label,No label
RAS,ARB_DST_ENHEDSADRESSE,Arbejdsstedsadressen ultimo november,Workplace address at the end of November
RAS,ARB_DST_ENHEDSADRESSE_ID,Ingen label,No label
RAS,ARB_HOVED_BRA_DB07,Branchekode,Industry code
RAS,ARB_SEKTORKODE,Sektorkode for arbejdsstedet,Sector code for the workplace
RAS,ARDSEJER,Åprets ejerkode (AKM),Åprets owner code (AKM)
RAS,ARSOCIO,Årets socio (AKM),Socio of the Year (AKM)
RAS,ATP_BELOEB,ATP-beløb i året,ATP amount per year
RAS,ATP_BIDRAG_SATS_KODE,Sats for ATP-beløbet,Rate for the ATP amount
RAS,BOPAEL_ADGANGSADRESSE,Bopælsadressen ultimo november,Address of residence at the end of November
RAS,BOPAEL_ADRESSE_ID,Ingen label,No label
RAS,BOPAEL_ENHEDSADRESSE,Bopælsadressen ultimo november,Address of residence at the end of November
RAS,BOPAEL_KOM_KODE,Kommunekode for bopælen,Municipal code for the residence
RAS,BRANCHE_77,Dansk branchekode 1977 til 1993 (AKM),Danish industry code 1977 to 1993 (AKM)
RAS,BRANCHE_KODE,Branchekode for arbejdesstedet,Industry code for the workplace
RAS,BREDT_LOENBELOEB,Bredt lønbeløb,Wide salary amount
RAS,BREDT_LOENBELOEB_EBS,Bredt lønbeløb i erhvervsbeskæfigelsen,Wide wage amount in business employment
RAS,CPRTJEK,CPR-tjek,CPR check
RAS,CPRTYPE,CPR-type,CPR type
RAS,CVRNR,CVR-nummer,CVR number
RAS,DISCO_KODE,Disco kode for lønmodtagere,Disco code for employees
RAS,DISCO_MATCHPRIO_KODE,Kode der angiver kvaliteten af discokoden,Code indicating the quality of the disco code
RAS,DISCO_RAS_KODE,Arbejdsfunktion for lønmodtagere,Work function for employees
RAS,DSEJER,Primære ejerkode,Primary owner code
RAS,DSKOD,Arbejdsstedskode,Workplace code
RAS,EJANSNOV,Ej ansat ultimo november,Not employed at the end of November
RAS,FIKTIV_ARB_KODE,Fiktivt arbejdssted,Fictitious workplace
RAS,FORANST_RAS,Arbejdsmarkedspolitisk foranstaltning,Labor market policy measure
RAS,FORSKAT_RAS,Forsikringskategori i akassen,Insurance category in akassen
RAS,FRAVAER_BESK_KODE,Midlertidigt fraværende fra beskæftigelse,Temporarily absent from employment
RAS,FUNKTION_KODE,Funktionskode,Function code
RAS,GRADAT1,Årsledighed,Unemployment
RAS,GRADAT2,Årsledighed næste år,Annual unemployment next year
RAS,HELARKOD,Helårskode,Year-round code
RAS,HELTID_32_KODE,Heltid eller deltidsbeskæftiget,Full-time or part-time employed
RAS,HELTID_DELTID_KODE,heltid eller deltid (arbejdsomfang/potentielt arbejdsomfang),full-time or part-time (scope of work / potential scope of work)
RAS,IE_TYPE,"Indvandrere, efterkommere , personer med dansk oprindelse","Immigrants, descendants, persons of Danish origin"
RAS,I_BEFOLKNINGEN_KODE,I befolkningen på referencetidspunktet,In the population at the time of reference
RAS,JUR_BAGATEL_AAR,Over/under bagatelgrænsen,Above / below the de minimis limit
RAS,KOEN,Køn,Sex
RAS,LOENBLB,Arbejdsmarkedsbidragspligtig løn,Wage pay subject to labor market contributions
RAS,LOENTIMER,Løntimer,Pay hours
RAS,NOVPRIO,Novemberprioritering,November prioritization
RAS,NOV_TILSTAND_GRAD,Tilstandsgrad i november,Degree of condition in November
RAS,NYARB,Ny arbejdsstilling,New working position
RAS,NYSTIL,Ny stillingskode,New job code
RAS,OK_NR,Økonomisk enheds-nummer,Economic unit number
RAS,OPR_LAND,Oprindelsesland,Country of origin
RAS,ORLOV_BESK_RAS,Orlov fra beskæftigelse,Leave from employment
RAS,PARBOPL,Primær arbejds oplysning,Primary job information
RAS,PENSMARK,Pensionsmarkering,Pension marking
RAS,PNR,Personnummer,Social security number
RAS,PRIMAER_STATUS_KODE,Kode for primær tilknytning til arbejdsmarkedet,Code of primary affiliation with the labor market
RAS,RASDSEJER3,DSejer3,DSejer3
RAS,SAADRKOD,SEKUNDÆR ARBEJDSSTEDSADRESSE,SECONDARY WORKPLACE ADDRESS
RAS,SADRKVAL,SEKUNDÆR ARBEJDSSTEDSADRESSE KVALITET,SECONDARY WORK ADDRESS QUALITY
RAS,SAKOM,SEKUNDÆR ARBEJDSSTEDSKOMMUNE,SECONDARY WORKPLACE MUNICIPALITY
RAS,SARBGNR9,SEKUNDÆR ARBEJDSGIVERNUMMER,SECONDARY EMPLOYER NUMBER
RAS,SARBSTIL,SEKUNDÆR ARBEJDSTILLING,SECONDARY WORK POSITION
RAS,SAROPL,SEKUNDÆR ARBEJDS OPLYSNINGER,SECONDARY WORK INFORMATION
RAS,SBRKVAL,SEKUNDÆR BRANCHE KVALITET,SECONDARY INDUSTRY QUALITY
